Player,Country,Matches,Innings,Not Out,Runs,Highest Score,Average,Centuries,Half Centuries,Ducks,World,HighNotOut,Duckratio,Player ID
A Kumble,India,132,173,32,2506,110,17.77,1,5,17,0,1,0.128787879,22
AD Gaekwad,India,40,70,4,1985,201,30.07,2,10,4,0,0,0.1,87
AL Wadekar,India,37,71,3,2113,143,31.07,1,14,7,0,0,0.189189189,191
CA Pujara,India,24,42,4,1872,206,49.26,6,5,1,0,1,0.041666667,407
CPS Chauhan,India,40,68,2,2084,97,31.57,0,16,6,0,0,0.15,525
DB Vengsarkar,India,116,185,22,6868,166,42.13,17,35,15,0,0,0.129310345,597
DN Sardesai,India,30,55,4,2001,212,39.23,5,9,4,0,0,0.133333333,669
ED Solkar,India,27,48,6,1068,102,25.42,1,6,1,0,0,0.037037037,741
FM Engineer,India,46,87,3,2611,121,31.08,2,16,7,0,0,0.152173913,855
G Gambhir,India,56,100,5,4046,206,42.58,9,21,6,0,0,0.107142857,881
GR Viswanath,India,91,155,10,6080,222,41.93,14,35,10,0,0,0.10989011,1027
Harbhajan Singh,India,101,142,22,2202,115,18.35,2,9,19,0,0,0.188118812,1073
IK Pathan,India,29,40,5,1105,102,31.57,1,6,5,0,0,0.172413793,1183
J Srinath,India,67,92,21,1009,76,14.21,0,4,13,0,0,0.194029851,1248
K Srikkanth,India,43,72,3,2062,123,29.88,2,12,7,0,0,0.162790698,1461
KS More,India,49,64,14,1285,73,25.7,0,7,7,0,0,0.142857143,1537
M Amarnath,India,69,113,10,4378,138,42.5,11,24,12,0,0,0.173913043,1616
M Azharuddin,India,99,147,9,6215,199,45.03,22,21,5,0,0,0.050505051,1617
M Prabhakar,India,39,58,9,1600,120,32.65,1,9,3,0,0,0.076923077,1635
M Vijay,India,27,47,0,1706,167,36.29,4,6,2,0,0,0.074074074,1639
MAK Pataudi,India,46,83,3,2793,203,34.91,6,16,7,0,1,0.152173913,1659
MS Dhoni,India,88,140,15,4808,224,38.46,6,33,9,0,0,0.102272727,1810
N Kapil Dev,India,131,184,15,5248,163,31.05,8,27,16,0,0,0.122137405,1847
NR Mongia,India,44,68,8,1442,152,24.03,1,6,6,0,0,0.136363636,1913
NS Sidhu,India,51,78,2,3202,201,42.13,9,15,9,0,0,0.176470588,1918
R Dravid,India,164,286,32,13288,270,52.31,36,63,8,0,0,0.048780488,2061
RJ Shastri,India,80,121,14,3830,206,35.79,11,12,9,0,0,0.1125,2188
S Abid Ali,India,29,53,3,1018,81,20.36,0,6,3,0,0,0.103448276,2272
S Madan Lal,India,39,62,16,1042,74,22.65,0,5,7,0,0,0.179487179,2284
S Ramesh,India,19,37,1,1367,143,37.97,2,8,3,0,0,0.157894737,2294
SC Ganguly,India,113,188,17,7212,239,42.17,16,35,13,0,0,0.115044248,2334
SM Gavaskar,India,125,214,16,10122,236,51.12,34,45,12,0,1,0.096,2417
SM Patil,India,29,47,4,1588,174,36.93,4,7,4,0,0,0.137931034,2420
SMH Kirmani,India,88,124,22,2759,102,27.04,2,12,7,0,0,0.079545455,2423
SR Tendulkar,India,200,329,33,15921,248,53.78,51,68,14,0,1,0.07,2446
SS Das,India,23,40,2,1326,110,34.89,2,9,3,0,0,0.130434783,2450
SV Manjrekar,India,37,61,6,2043,218,37.14,4,9,3,0,0,0.081081081,2466
V Kohli,India,29,51,4,1855,119,39.46,6,9,4,0,0,0.137931034,2581
V Sehwag,India,104,180,6,8586,319,49.34,23,32,16,0,0,0.153846154,2587
VVS Laxman,India,134,225,34,8781,281,45.97,17,56,14,0,0,0.104477612,2619
W Jaffer,India,31,58,1,1944,212,34.1,5,11,6,0,0,0.193548387,2637
Yashpal Sharma,India,37,59,11,1606,140,33.45,2,9,4,0,0,0.108108108,2744
Yuvraj Singh,India,40,62,6,1900,169,33.92,3,11,7,0,0,0.175,2751
Z Khan,India,92,127,24,1231,75,11.95,0,3,29,0,0,0.315217391,2753
