Player,Country,Matches,Balls,Wickets,Average,Strike Rate,5 W I,10 W M,world,BestB Inning,BestBInning,Wickt/Inning,ball/inning,Runs/innings,Innings,Runs,Economy Rate,Player ID
AA Donald,South Africa,72,15519,330,22.25,47,20,3,0,0.112676056,0.086330935,2.558139535,120.3023256,56.93023256,129,7344,2.83,44
AA Mallett,Australia,38,9990,132,29.84,75.6,6,1,0,0.13559322,0.069444444,1.85915493,140.7042254,55.49295775,71,3940,2.36,46
Abdur Rehman,Pakistan,22,6892,99,29.39,69.6,2,0,0,0.24,0.086956522,2.302325581,160.2790698,67.6744186,43,2910,2.53,62
AME Roberts,West Indies,47,11135,202,25.61,55.1,11,2,0,0.12962963,0.099173554,2.244444444,123.7222222,57.48888889,90,5174,2.78,182
AN Connolly,Australia,29,7818,102,29.22,76.6,4,0,0,0.127659574,0.064220183,1.854545455,142.1454545,54.2,55,2981,2.28,187
AR Caddick,England,62,13558,234,29.91,57.9,13,1,0,0.152173913,0.046511628,2.228571429,129.1238095,66.65714286,105,6999,3.09,213
ARC Fraser,England,46,10876,177,27.32,61.4,13,2,0,0.150943396,0.1,2.240506329,137.6708861,61.21518987,79,4836,2.66,221
Asif Iqbal,Pakistan,58,3864,53,28.33,72.9,2,0,0,0.104166667,0.08,0.981481481,71.55555556,27.81481481,54,1502,2.33,232
BA Reid,Australia,27,6244,113,24.63,55.2,5,2,0,0.137254902,0.087837838,2.69047619,148.6666667,66.28571429,42,2784,2.67,277
BR Taylor,New Zealand,30,6334,111,26.6,57,4,0,0,0.094594595,0.049450549,2.094339623,119.509434,55.71698113,53,2953,2.79,331
BW Hilfenhaus,Australia,27,6078,99,28.5,61.3,2,0,0,0.066666667,0.082474227,2.020408163,124.0408163,57.59183673,49,2822,2.78,338
CA Walsh,West Indies,132,30019,519,24.44,57.8,22,3,0,0.189189189,0.236363636,2.144628099,124.0454545,52.42975207,242,12688,2.53,365
CEH Croft,West Indies,27,6165,125,23.3,49.3,3,0,0,0.275862069,0.094736842,2.403846154,118.5576923,56.01923077,52,2913,2.83,394
CEL Ambrose,West Indies,98,22103,405,20.99,54.5,22,3,0,0.177777778,0.130952381,2.262569832,123.4804469,47.49162011,179,8501,2.3,396
CJ McDermott,Australia,71,16586,291,28.63,56.9,14,2,0,0.082474227,0.070063694,2.346774194,133.7580645,67.19354839,124,8332,3.01,426
CL Cairns,New Zealand,62,11698,218,29.4,53.6,13,1,0,0.259259259,0.1,2.096153846,112.4807692,61.63461538,104,6410,3.28,437
CM Old,England,46,8858,143,28.11,61.9,4,0,0,0.14,0.102272727,1.765432099,109.3580247,49.62962963,81,4020,2.72,450
CR Matthews,South Africa,18,3980,52,28.88,76.5,2,0,0,0.119047619,0.057142857,1.575757576,120.6060606,45.51515152,33,1502,2.26,465
CR Miller,Australia,18,4091,69,26.15,59.2,3,1,0,0.15625,0.088495575,2.029411765,120.3235294,53.08823529,34,1805,2.64,466
D Gough,England,58,11821,229,28.39,51.6,9,0,0,0.142857143,0.097826087,2.410526316,124.4315789,68.45263158,95,6503,3.3,495
DG Cork,England,37,7678,131,29.81,58.6,5,0,0,0.162790698,0.055555556,2.112903226,123.8387097,63,62,3906,3.05,540
DJ Brown,England,26,5098,79,28.31,64.5,2,0,0,0.119047619,0.071428571,1.717391304,110.826087,48.63043478,46,2237,2.63,547
DJ Nash,New Zealand,32,6196,93,28.48,66.6,3,1,0,0.222222222,0.065088757,1.754716981,116.9056604,49.98113208,53,2649,2.56,558
DK Lillee,Australia,70,18467,355,23.92,52,23,7,0,0.084337349,0.089430894,2.689393939,139.9015152,64.34090909,132,8493,2.75,565
DL Underwood,England,86,21862,297,25.83,73.6,17,6,0,0.156862745,0.183098592,1.966887417,144.781457,50.82119205,151,7674,2.1,575
DW Fleming,Australia,20,4129,75,25.89,55,3,0,0,0.166666667,0.098901099,1.973684211,108.6578947,51.10526316,38,1942,2.82,622
DW Steyn,South Africa,75,15975,383,22.56,41.7,24,5,1,0.137254902,0.183333333,2.697183099,112.5,60.87323944,142,8644,3.24,627
FJ Cameron,New Zealand,19,4570,62,29.82,73.7,3,0,0,0.147058824,0.128571429,1.771428571,130.5714286,52.82857143,35,1849,2.42,734
G Dymock,Australia,21,5545,78,27.12,71,5,1,0,0.104477612,0.072289157,2.228571429,158.4285714,60.45714286,35,2116,2.28,765
GD McGrath,Australia,124,29248,563,21.64,51.9,29,3,0,0.333333333,0.37037037,2.316872428,120.3621399,50.14814815,243,12186,2.49,815
GD McKenzie,Australia,60,17681,246,29.78,71.8,16,3,0,0.112676056,0.10989011,2.17699115,156.4690265,64.84955752,113,7328,2.48,816
GG Arnold,England,34,7650,115,28.29,66.5,6,0,0,0.133333333,0.098901099,1.885245902,125.4098361,53.3442623,61,3254,2.55,833
GP Swann,England,60,15349,255,29.96,60.1,17,3,0,0.092307692,0.075757576,2.339449541,140.8165138,70.11009174,109,7642,2.98,882
GR Dilley,England,41,8192,138,29.76,59.3,6,0,0,0.157894737,0.0703125,2.123076923,126.0307692,63.18461538,65,4107,3,889
HH Streak,Zimbabwe,65,13559,216,28.14,62.7,7,0,0,0.082191781,0.125,2.117647059,132.9313725,59.59803922,102,6079,2.69,960
