Player,Country,Matches,Innings,Not Out,Runs,Highest Score,Average,Centuries,Half Centuries,Ducks,HighNotOut,Duckratio,World,Player ID
A Flintoff,England,79,130,9,3845,167,31.77,5,26,17,0,0.215189873,0,11
A Flower,Zimbabwe,63,112,19,4794,232,51.54,12,27,5,1,0.079365079,0,12
A Ranatunga,Sri Lanka,93,155,12,5105,135,35.69,4,38,12,1,0.129032258,0,33
A Symonds,Australia,26,41,5,1462,162,40.61,2,10,4,1,0.153846154,0,42
Aamer Sohail,Pakistan,47,83,3,2823,205,35.28,5,13,6,0,0.127659575,0,56
AB de Villiers,South Africa,95,159,16,7296,278,51.02,19,36,3,1,0.031578947,0,60
AC Gilchrist,Australia,96,137,20,5570,204,47.6,17,26,14,1,0.145833333,0,78
AC Hudson,South Africa,35,63,3,2007,163,33.45,4,13,7,0,0.2,0,79
AD Mathews,Sri Lanka,44,74,16,3054,160,52.65,4,18,1,0,0.022727273,0,88
AG Prince,South Africa,66,104,16,3665,162,41.64,11,11,7,1,0.106060606,0,132
AH Jones,New Zealand,39,74,8,2922,186,44.27,7,11,2,0,0.051282051,0,140
AI Kallicharran,West Indies,66,109,10,4399,187,44.43,12,21,10,0,0.151515152,0,148
AJ Lamb,England,79,139,10,4656,142,36.09,14,18,9,0,0.113924051,0,159
AJ Stewart,England,133,235,21,8463,190,39.54,15,45,14,0,0.105263158,0,165
AJ Strauss,England,100,178,6,7037,177,40.91,21,27,15,0,0.15,0,166
AL Logie,West Indies,52,78,9,2470,130,35.79,2,16,8,0,0.153846154,0,184
AN Cook,England,109,194,11,8423,294,46.02,25,38,7,0,0.064220184,0,215
AN Petersen,South Africa,33,60,4,2007,182,35.83,5,8,2,0,0.060606061,0,217
AP Gurusinha,Sri Lanka,41,70,7,2452,143,38.92,7,8,3,0,0.073170732,0,229
AP Sheahan,Australia,31,53,6,1594,127,33.91,2,7,3,0,0.096774194,0,234
APE Knott,England,95,149,15,4389,135,32.75,5,30,8,0,0.084210526,0,236
AR Border,Australia,156,265,44,11174,205,50.56,27,63,11,0,0.070512821,0,240
Asad Shafiq,Pakistan,28,46,4,1548,130,36.85,4,9,3,0,0.107142857,0,260
Asif Iqbal,Pakistan,58,99,7,3575,175,38.85,11,12,9,0,0.155172414,0,263
AW Greig,England,58,93,4,3599,148,40.43,8,20,5,0,0.086206897,0,277
Azhar Ali,Pakistan,34,64,4,2305,157,38.41,5,15,7,0,0.205882353,0,288
BA Edgar,New Zealand,39,68,4,1958,161,30.59,3,12,7,0,0.17948718,0,308
BA Young,New Zealand,35,68,4,2034,267,31.78,2,12,5,1,0.142857143,0,316
BB McCullum,New Zealand,87,151,8,5306,302,37.1,9,28,11,0,0.126436782,0,323
BC Booth,Australia,29,48,6,1773,169,42.21,5,10,5,0,0.172413793,0,325
BC Broad,England,25,44,2,1661,162,39.54,6,6,3,0,0.12,0,326
BC Lara,West Indies,131,232,6,11953,400,52.88,34,48,17,1,0.129770992,1,329
BE Congdon,New Zealand,61,114,7,3448,176,32.22,7,19,9,0,0.147540984,0,335
BF Hastings,New Zealand,31,56,6,1510,117,30.2,4,7,6,1,0.193548387,0,338
BJ Haddin,Australia,57,96,10,3033,169,35.26,4,17,6,0,0.105263158,0,346
BJ Watling,New Zealand,24,41,6,1299,124,37.11,3,8,6,0,0.25,0,349
BL D'Oliveira,England,44,70,8,2484,158,40.06,5,15,4,0,0.090909091,0,355
BM McMillan,South Africa,38,62,12,1968,113,39.36,3,13,3,0,0.078947368,0,358
BW Luckhurst,England,21,41,5,1298,131,36.05,4,5,4,0,0.190476191,0,380
CD McMillan,New Zealand,55,91,10,3116,142,38.46,6,19,7,0,0.127272727,0,435
CG Greenidge,West Indies,108,185,16,7558,226,44.72,19,34,11,0,0.101851852,0,461
CH Gayle,West Indies,103,182,11,7214,333,42.18,15,37,15,0,0.145631068,0,467
CH Lloyd,West Indies,110,175,14,7515,242,46.67,19,39,4,1,0.036363636,0,468
CJ Tavare,England,31,56,2,1755,149,32.5,2,12,5,0,0.161290323,0,485
CL Cairns,New Zealand,62,104,5,3320,158,33.53,5,22,7,0,0.112903226,0,495
CL Hooper,West Indies,102,173,15,5762,233,36.46,13,27,13,0,0.12745098,0,496
DA Warner,Australia,30,56,3,2467,180,46.54,8,12,2,0,0.066666667,0,588
DC Boon,Australia,107,190,20,7422,200,43.65,21,32,16,0,0.14953271,0,600
DI Gower,England,117,204,18,8231,215,44.25,18,39,7,0,0.05982906,0,624
DJ Bravo,West Indies,40,71,1,2200,113,31.42,3,13,6,0,0.15,0,626
DJ Cullinan,South Africa,70,115,12,4554,275,44.21,14,20,10,1,0.142857143,0,631
DL Amiss,England,50,88,10,3612,262,46.3,11,11,10,1,0.2,0,651
DL Haynes,West Indies,116,202,25,7487,184,42.29,18,39,10,0,0.086206897,0,654
DL Vettori,New Zealand,112,173,23,4516,140,30.1,6,23,20,0,0.178571429,0,660
DM Bravo,West Indies,32,57,4,2311,218,43.6,6,9,3,0,0.09375,0,661
DM Jones,Australia,52,89,11,3631,216,46.55,11,14,11,0,0.211538462,0,662
